card_number,number_win,number_defeats,bet_value,win_value,cashout,card_type,result,bet_type,date
4,2,2,1.0,14.05,0,combo,defeats,per goal,2024-08-01
4,3,1,1.0,7.81,0,combo,defeats,per goal,2024-08-01
3,1,2,1.0,15.77,0,combo,defeats,per goal,2024-08-01
5,3,2,1.0,16.88,0,combo,defeats,per goal,2024-08-01
4,4,0,1.57,8.61,0,combo,win,per goal,2024-08-01
4,2,2,2.0,51.74,0,combo,defeats,per goal,2024-08-01
5,3,2,1.0,23.22,3.27,combo,null,per goal,2024-08-01
3,2,1,1.0,5.77,0.30,combo,null,per goal,2024-08-01
5,3,2,1.0,13.06,0,combo,defeats,per goal,2024-08-01
6,2,4,1.0,10.62,0,combo,defeats,per goal,2024-08-01
5,3,2,1.0,10.99,0,combo,defeats,per goal,2024-08-01
6,3,3,1.0,6.48,0,combo,defeats,per goal,2024-08-01
4,1,3,1.0,12.12,0,combo,defeats,per goal,2024-08-01
4,3,1,1.0,11.62,0,combo,defeats,per goal,2024-08-01
2,0,2,1.0,8.74,0,combo,defeats,per goal,2024-08-01
2,0,2,1.36,23.80,0,combo,defeats,per goal,2024-08-01
3,2,1,1.48,7.60,0,combo,defeats,per goal,2024-08-01
3,1,2,1.0,7.91,0,combo,defeats,per goal,2024-08-01
3,1,2,1.0,6.93,0,combo,defeats,per goal,2024-08-01
4,2,2,1.0,32.12,5.36,combo,null,per win,2024-08-01
5,1,4,1.0,29.42,0,combo,defeats,per win,2024-08-01
8,6,2,1.0,35.02,10.92,combo,null,per win,2024-08-01
5,2,3,1.0,34.31,0,combo,defeats,per win,2024-08-01
3,1,2,1.0,10.44,0,combo,defeats,per win,2024-08-01
2,1,1,0.9,3.36,0,combo,defeats,per goal,2024-09-01
7,4,3,1.0,29.22,0,combo,defeats,per win,2024-08-31
2,0,2,1.0,12.0,0,combo,defeats,per win,2024-08-31
2,1,1,1.0,3.28,0,combo,defeats,per win,2024-08-31
3,2,1,1.0,14.58,0,combo,defeats,per win,2024-08-31
3,2,1,2.0,9.79,0,combo,defeats,per win,2024-08-31
3,1,2,2.0,27.96,0,combo,defeats,per win,2024-08-31
3,1,2,1.0,10.19,0,combo,defeats,per win,2024-08-31
3,2,1,1.0,17.85,0,combo,defeats,per win,2024-08-31
3,0,3,1.63,21.93,0,combo,defeats,per win,2024-08-31
4,4,0,1.63,7.75,0,combo,win,per win,2024-08-31
5,5,0,1,4.63,0,combo,win,per win,2024-08-31
3,2,1,0.96,1.64,0,combo,defeats,per win,2024-08-31
4,3,1,1.0,2.94,0,combo,defeats,per win,2024-08-31
4,2,2,1.0,6.80,0,combo,defeats,per win,2024-08-31
7,3,4,2.44,7.03,0,combo,defeats,per win,2024-08-31
2,1,1,0.95,5.04,0,combo,defeats,per win,2024-08-31
1,1,0,0.95,1.24,0,unique,win,per win,2024-08-31
1,1,0,0.95,1.19,0,unique,win,per win,2024-08-31
1,1,0,1.0,1.27,0,unique,win,per win,2024-08-31
3,3,0,0.95,7.08,0,combo,win,per win,2024-08-30
4,2,2,1.0,5.65,0,combo,defeats,per win,2024-08-30
3,2,1,1.08,3.42,0,combo,defeats,per win,2024-08-30
3,3,0,0.67,2.04,0,combo,win,per win,2024-08-30
4,3,1,0.5,4.46,0,combo,defeats,per win,2024-08-29
2,1,1,0.5,4.62,0,combo,defeats,per win,2024-08-29
3,2,1,0.5,3.69,0,combo,defeats,per win,2024-08-29
4,3,1,0.5,2.31,0,combo,defeats,per win,2024-08-29
2,1,1,0.6,3.68,0,combo,defeats,per win,2024-08-28
4,1,3,0.5,6.32,0,combo,defeats,per win,2024-08-28
4,3,1,0.5,6.86,0,combo,defeats,per win,2024-08-28
4,2,2,0.5,4.75,0,combo,defeats,per win,2024-08-27
3,1,2,0.5,17.12,0,combo,defeats,per win,2024-08-27
3,1,2,0.5,4.22,0,combo,defeats,per win,2024-08-27
3,1,2,0.9,5.14,0,combo,defeats,per win,2024-08-27
10,9,1,0.5,14.35,0,combo,defeats,per win,2024-08-27
4,2,2,0.5,13.84,0,combo,defeats,per win,2024-08-27
10,9,1,0.5,14.35,0,combo,defeats,per win,2024-08-27
3,0,3,1.0,7.86,0,combo,defeats,per win,2024-08-27
2,0,2,1.0,4.65,0,combo,defeats,per win,2024-08-27
5,2,3,1.0,22.46,0,combo,defeats,per win,2024-08-27
3,1,2,1.28,18.03,0,combo,defeats,per win,2024-08-27
4,3,1,1.0,18.03,0,combo,defeats,per win,2024-08-27
4,3,1,1.0,11.48,0.69,combo,null,per win,2024-08-27
2,2,0,1.0,8.12,0,combo,win,per win,2024-08-27

3,0,3,1.0,13.3,0,combo,defeats,per win,2024-08-26
3,2,1,2.0,19.98,0,combo,defeats,per win,2024-08-26
3,1,2,1.0,10.77,0,combo,defeats,per win,2024-08-26
3,1,2,1.69,29.24,0,combo,defeats,per win,2024-08-26
2,2,0,1.0,7.69,0,combo,win,per win,2024-08-26
2,0,2,1.76,9.87,0,combo,defeats,per win,2024-08-26
2,2,0,0.5,8.10,0,combo,win,per win,2024-08-26
2,1,1,1.0,11.20,0,combo,defeats,per win,2024-08-26
2,2,0,0.5,11.31,5.66,combo,win,per win,2024-08-26
2,1,1,0.5,12.32,0,combo,defeats,per win,2024-08-26
4,1,3,0.5,26.86,0,combo,defeats,per win,2024-08-26
4,3,1,0.5,6.3,0,combo,defeats,per win,2024-08-26
5,3,2,0.5,32.26,0,combo,defeats,per win,2024-08-26
3,2,1,0.5,7.66,0,combo,defeats,per win,2024-08-26
3,2,1,0.5,3.09,0,combo,defeats,per win,2024-08-25
7,4,3,0.5,17.07,0,combo,defeats,per win,2024-08-25
5,3,2,0.89,11.04,0,combo,defeats,per win,2024-08-25
5,2,3,1.0,11.93,0,combo,defeats,per win,2024-08-25
3,1,2,0.5,12.36,0,combo,defeats,per win,2024-08-24
7,7,0,0.58,4.89,0,combo,win,per win,2024-08-24
3,2,1,0.5,10.49,0,combo,defeats,per win,2024-08-24
4,2,2,1.13,17.90,0.08,combo,defeats,per win,2024-08-24
4,4,0,0.5,2.53,0,combo,win,per win,2024-08-24
3,2,1,0.5,6.3,0.10,combo,defeats,per win,2024-08-24
6,4,2,0.5,29.38,0,combo,defeats,per win,2024-08-24
3,2,1,0.5,2.59,0,combo,defeats,per win,2024-08-24
3,1,2,0.5,17.02,0,combo,defeats,per win,2024-08-24
3,0,3,0.53,15.43,0,combo,defeats,per win,2024-08-24
5,4,1,0.5,10.03,0,combo,defeats,per win,2024-08-24
